day,date,tender,value
Thursday,2022-09-15,Gift Voucher,20.0
Thursday,2022-09-15,Integrated EFTPOS,3613.8
Friday,2022-09-16,Account,859.96
Friday,2022-09-16,Birthday Voucher Refund,-0.75
Friday,2022-09-16,Integrated EFTPOS,4451.03
Friday,2022-09-16,Mail Order Pickup,206.39
Friday,2022-09-16,PayPal,-98.0
Saturday,2022-09-17,CASH,150.0
Saturday,2022-09-17,Gift Voucher,29.0
Saturday,2022-09-17,Integrated EFTPOS,3258.13
Sunday,2022-09-18,Gift Voucher,20.0
Sunday,2022-09-18,Integrated EFTPOS,2723.84
Monday,2022-09-19,CASH,190.0
Monday,2022-09-19,Gift Voucher,20.0
Monday,2022-09-19,Integrated EFTPOS,1829.89
Monday,2022-09-19,Mail Order Pickup,360.99
Tuesday,2022-09-20,Account,85.0
Tuesday,2022-09-20,CASH,110.0
Tuesday,2022-09-20,Gift Voucher,20.0
Tuesday,2022-09-20,Integrated EFTPOS,1034.93
Tuesday,2022-09-20,PayPal,-78.0
Wednesday,2022-09-21,CASH,99.0
Wednesday,2022-09-21,Gift Voucher,20.0
Wednesday,2022-09-21,Integrated EFTPOS,2709.83
Thursday,2022-09-22,CASH,135.0
Thursday,2022-09-22,Integrated EFTPOS,1393.99
Friday,2022-09-23,Account,430.97
Friday,2022-09-23,Integrated EFTPOS,1923.12
Saturday,2022-09-24,CASH,404.2
Saturday,2022-09-24,Integrated EFTPOS,2840.01
Saturday,2022-09-24,PayPal,-128.0
Sunday,2022-09-25,Afterpay POS API Payment,-49.0
Sunday,2022-09-25,Gift Voucher,40.0
Sunday,2022-09-25,Integrated EFTPOS,2333.82
Monday,2022-09-26,Gift Voucher,20.0
Monday,2022-09-26,Integrated EFTPOS,3712.03
Monday,2022-09-26,Mail Order Pickup,779.95
Tuesday,2022-09-27,Gift Voucher,170.0
Tuesday,2022-09-27,Integrated EFTPOS,2191.65
Wednesday,2022-09-28,Integrated EFTPOS,627.96
Thursday,2022-09-29,Integrated EFTPOS,2489.66
Friday,2022-09-30,Integrated EFTPOS,1438.4
Saturday,2022-10-01,Gift Voucher,20.0
Saturday,2022-10-01,Integrated EFTPOS,4175.75
Sunday,2022-10-02,Account,179.99
